p_score,p_acat,p_snp,p_pheWAS_mega_acat,p_pheWAS_mega_acat_p,p_pheWAS_meta_acat,p_pheWAS_meta_acat_p,p_asset_meta,p_pheWAS_hmp,p_oracle,p_oracle_uncorrelated,p_pheWAS_mega,p_pheWAS_meta,p_multiphen,alpha,n_sims,num_sites,total_subjects,max_site,q,q_bin,q_con,intercept_only,flip_y,rm_gender,na_freq,maf,prevalence,num_pca,n_true_con,max_beta_con,direction_con,n_true_bin,max_beta_bin,direction_bin,beta_con,beta_bin,n_k,q_k,empirical_prev,no_case_rate
0.133,0.134,0.146,0.134,0.127,0.135,0.1255,NA,0.145,0.254,0.231,0.117,0.12,0.0765,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.06230769230769231,Same -- Negative,1,0.06230769230769231,Same -- Positive,-0.0623076923076923/0/0/0,0.0623076923076923/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.3181238,0
0.0465,0.049,0.0495,0.057,0.053,0.0575,0.053,NA,0.0645,0.061,0.053,0.0515,0.05,0.0525,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.01,Opposite,3,0.01,Same -- Positive,0.01/-0.01/0/0,0.01/0.01/0.01/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31795135,0
0.3065,0.236,0.2965,0.231,0.212,0.232,0.217,NA,0.245,0.4125,0.3835,0.1875,0.1935,0.0835,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.06230769230769231,Opposite,3,0.06230769230769231,Same -- Positive,0.0623076923076923/-0.0623076923076923/0/0,0.0623076923076923/0.0623076923076923/0.0623076923076923/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318032625,0
0.517,0.3845,0.494,0.3615,0.32,0.366,0.3205,NA,0.3615,0.517,0.517,0.2695,0.272,0.1245,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.06230769230769231,Opposite,4,0.06230769230769231,Same -- Positive,0.0623076923076923/-0.0623076923076923/0.0623076923076923/-0.0623076923076923,0.0623076923076923/0.0623076923076923/0.0623076923076923/0.0623076923076923,1000/1000/1000/1000/1000,8/7/6/5/8,0.318071925,0
0.159,0.143,0.161,0.139,0.131,0.1385,0.13,NA,0.1565,0.3075,0.273,0.1165,0.117,0.067,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.07102564102564102,Same -- Negative,1,0.07102564102564102,Same -- Positive,-0.071025641025641/0/0/0,0.071025641025641/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31807035,0
0.4205,0.3255,0.4015,0.3145,0.2825,0.315,0.2845,NA,0.317,0.5235,0.5005,0.256,0.2565,0.106,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.07102564102564102,Opposite,3,0.07102564102564102,Same -- Positive,0.071025641025641/-0.071025641025641/0/0,0.071025641025641/0.071025641025641/0.071025641025641/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.31813665,0
0.638,0.475,0.604,0.453,0.4015,0.4555,0.407,NA,0.4405,0.638,0.638,0.336,0.341,0.138,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.07102564102564102,Opposite,4,0.07102564102564102,Same -- Positive,0.071025641025641/-0.071025641025641/0.071025641025641/-0.071025641025641,0.071025641025641/0.071025641025641/0.071025641025641/0.071025641025641,1000/1000/1000/1000/1000,8/7/6/5/8,0.318063625,0
0.1955,0.1705,0.205,0.173,0.1615,0.1765,0.1605,NA,0.1935,0.3665,0.34,0.148,0.1475,0.0795,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,1,0.07974358974358974,Same -- Negative,1,0.07974358974358974,Same -- Positive,-0.0797435897435897/0/0/0,0.0797435897435897/0/0/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318051875,0
0.5285,0.4065,0.5095,0.3875,0.353,0.392,0.3585,NA,0.393,0.625,0.61,0.3085,0.312,0.1225,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,2,0.07974358974358974,Opposite,3,0.07974358974358974,Same -- Positive,0.0797435897435897/-0.0797435897435897/0/0,0.0797435897435897/0.0797435897435897/0.0797435897435897/0,1000/1000/1000/1000/1000,8/7/6/5/8,0.318198125,0
0.779,0.6015,0.7485,0.58,0.5155,0.5865,0.5215,NA,0.562,0.779,0.779,0.43,0.434,0.165,0.05,2000,5,5000,1000,8,4,4,FALSE,FALSE,FALSE,0.1,0.2,0.3,4,4,0.07974358974358974,Opposite,4,0.07974358974358974,Same -- Positive,0.0797435897435897/-0.0797435897435897/0.0797435897435897/-0.0797435897435897,0.0797435897435897/0.0797435897435897/0.0797435897435897/0.0797435897435897,1000/1000/1000/1000/1000,8/7/6/5/8,0.3181583,0
